reference	book	chapter	verse	category	priority	signals	reason	text
1 Peter 3:16	1 Peter	3	16	UNRIPENESS LEXICAL REVIEW	HIGH	unripeness	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	having a good conscience; that, while you are spoken against as people who act from unripeness, they may be disappointed who curse your good manner of life in Messiah.
1 Peter 3:17	1 Peter	3	17	UNRIPENESS LEXICAL REVIEW	HIGH	unripeness	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	For it is better, if it is God's will, that you suffer for doing well than for doing unripeness.
1 Peter 4:15	1 Peter	4	15	UNRIPENESS LEXICAL REVIEW	HIGH	unripeness	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	For let none of you suffer as a murderer, or a thief, or an unripeness doer, or a meddler in other people's matters.
2 Peter 2:16	2 Peter	2	16	GENERIC PRONOUN HIGH PRIORITY	HIGH	a person; he; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	but he was rebuked for his own disobedience. A mute donkey spoke with a person's voice and stopped the madness of the prophet.
1 John 2:4	1 John	2	4	GENERIC PRONOUN HIGH PRIORITY	HIGH	One who; him; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"One who says, ""I know him,"" and doesn't keep his commandments, is a liar, and the truth isn't in them."
1 John 2:5	1 John	2	5	GENERIC PRONOUN HIGH PRIORITY	HIGH	whoever; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	But whoever keeps God's word, God's love has most certainly been perfected in them. This is how we know that we are in him:
1 John 2:6	1 John	2	6	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	the one who says they remain in him ought also to walk just as he walked.
1 John 2:13	1 John	2	13	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	I write to you, fathers, because you know the one who is from the beginning. I write to you, young people, because you have overcome the unripe one. I write to you, little children, because you know the Cosmic Parent.
1 John 2:14	1 John	2	14	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	I have written to you, fathers, because you know the one who is from the beginning. I have written to you, young people, because you are strong, and the word of God remains in you, and you have overcome the unripe one.
1 John 2:27	1 John	2	27	GENERIC PRONOUN HIGH PRIORITY	HIGH	anyone; him; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	As for you, the anointing which you received from him remains in you, and you don't need for anyone to teach you. But as his anointing teaches you concerning all things, and is true, and is no lie, and even as it taught you, you will remain in him.
1 John 2:29	1 John	2	29	GENERIC PRONOUN HIGH PRIORITY	HIGH	everyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	If you know that they are righteous, you know that everyone who practices righteousness is born of him.
1 John 3:3	1 John	3	3	GENERIC PRONOUN HIGH PRIORITY	HIGH	Everyone; he; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	Everyone who has this hope set on him purifies themselves, even as he is pure.
1 John 3:6	1 John	3	6	GENERIC PRONOUN HIGH PRIORITY	HIGH	Whoever; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	Whoever remains in him doesn't sin. Whoever sins hasn't seen him, neither knows him.
1 John 3:8	1 John	3	8	DIVINE-REFERENT REVIEW	HIGH	explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	The one who sins is of the Slanderer, for the Slanderer has been sinning from the beginning. To this end the Son of God was revealed, that he might destroy the works of the Slanderer.
1 John 3:8	1 John	3	8	GENERIC PRONOUN HIGH PRIORITY	HIGH	The one who; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	The one who sins is of the Slanderer, for the Slanderer has been sinning from the beginning. To this end the Son of God was revealed, that he might destroy the works of the Slanderer.
1 John 3:12	1 John	3	12	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	unlike Qayin, who was of the unripe one, and killed his brother. Why did he kill him? Because his works were unripe, and his brother's righteous.
1 John 3:24	1 John	3	24	GENERIC PRONOUN HIGH PRIORITY	HIGH	The one who; he; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	The one who keeps their commandments remains in him, and they in him. By this we know that he remains in us, by the Ruach which he gave us.
1 John 4:21	1 John	4	21	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	This commandment we have from him, that the one who loves God should also love their brother or sister.
1 John 5:1	1 John	5	1	GENERIC PRONOUN HIGH PRIORITY	HIGH	Whoever; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	Whoever believes that Yeshua is the Messiah is born of God. Whoever loves the father also loves the child who is born of him.
1 John 5:18	1 John	5	18	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	We know that whoever is born of God doesn't sin, but the one who was born of God keeps themselves, and the unripe one doesn't touch them.
1 John 5:19	1 John	5	19	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	We know that we are of God, and the whole world lies in the power of the unripe one.
2 John 1:11	2 John	1	11	UNRIPENESS LEXICAL REVIEW	HIGH	unripeness	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	for the one who welcomes them participates in their works of unripeness.
3 John 1:11	3 John	1	11	UNRIPENESS LEXICAL REVIEW	HIGH	unripeness	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	Beloved, don't imitate that which is unripeness, but that which is good. The one who does good is of God. The one who acts from unripeness hasn't seen God.
Revelation 1:1	Revelation	1	1	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	This is the Revelation of Yeshua the Messiah, which God gave him to show to his servants the things which must happen soon, which he sent and made known by his angel to his servant, Yochanan,
Revelation 2:2	Revelation	2	2	UNRIPENESS LEXICAL REVIEW	HIGH	unripeness	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	"""I know your works, and your toil and perseverance, and that you can't tolerate people of unripeness, and have tested those who call themselves emissaries, and they are not, and found them false."
Revelation 2:18	Revelation	2	18	DIVINE-REFERENT REVIEW	HIGH	divine-attribute; explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	"""To the angel of the assembly in Thyatira write: ""The Son of God, who has his eyes like a flame of fire, and his feet are like burnished brass, says these things:"
Revelation 6:2	Revelation	6	2	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	And behold, a white horse, and the one who sat on it had a bow. A crown was given to him, and he came forth conquering, and to conquer.
Revelation 6:4	Revelation	6	4	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	Another came forth, a red horse. To the one who sat on it was given power to take peace from the earth, and that they should kill one another. There was given to him a great sword.
Revelation 6:5	Revelation	6	5	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"When he opened the third seal, I heard the third living creature saying, ""Come and see!"" And behold, a black horse, and the one who sat on it had a balance in their hand."
Revelation 6:8	Revelation	6	8	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	And behold, a pale horse, and the one who sat on it, their name was Death. Hades followed with him. Authority over one fourth of the earth, to kill with the sword, with famine, with death, and by the wild animals of the earth was given to him.
Revelation 6:13	Revelation	6	13	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	The stars of the sky fell to the earth, like a fig tree dropping its unripe figs when it is shaken by a great wind.
Revelation 7:2	Revelation	7	2	DIVINE-REFERENT REVIEW	HIGH	next-sentence-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	I saw another angel ascend from the sunrise, having the seal of the living God. He cried with a loud voice to the four angels to whom it was given to harm the earth and the sea,
Revelation 7:15	Revelation	7	15	DIVINE-REFERENT REVIEW	HIGH	devotion-object	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	Therefore they are before the throne of God, they serve him day and night in his temple. The one who sits on the throne will spread their tent over them.
Revelation 7:15	Revelation	7	15	GENERIC PRONOUN HIGH PRIORITY	HIGH	The one who; him; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	Therefore they are before the throne of God, they serve him day and night in his temple. The one who sits on the throne will spread their tent over them.
Revelation 10:7	Revelation	10	7	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	but in the days of the voice of the seventh angel, when he is about to sound, then the mystery of God is finished, as he declared to his servants, the prophets.
Revelation 12:9	Revelation	12	9	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he; him; his	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	The great dragon was thrown down, the old serpent, the one who is called the Slanderer and the Adversary, the deceiver of the whole world. He was thrown down to the earth, and his angels were thrown down with him.
Revelation 13:8	Revelation	13	8	GENERIC PRONOUN HIGH PRIORITY	HIGH	everyone; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	All who dwell on the earth will worship him, everyone whose name has not been written from the foundation of the world in the book of life of the Lamb who has been killed.
Revelation 14:7	Revelation	14	7	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"He said with a loud voice, ""Revere God, and give God glory; for the hour of God’s judgment has come. Worship the one who made the heaven, the earth, the sea, and the springs of waters!"""
Revelation 14:10	Revelation	14	10	DIVINE-REFERENT REVIEW	HIGH	next-sentence-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	he also will drink of the wine of the wrath of God, which is prepared unmixed in the cup of God’s anger. He will be tormented with fire and sulfur in the presence of the holy angels, and in the presence of the Lamb.
Revelation 16:2	Revelation	16	2	UNRIPENESS LEXICAL REVIEW	HIGH	unripe	“Unripe/unripeness” is unusual English in these moral/ethical contexts and may be a prior AI lexical artifact. Review the underlying Greek and immediate context; choose a contextual rendering rather than a global substitution.	The first went, and poured out his bowl into the earth, and it became a harmful and harmful and unripe sore on the people who had the mark of the beast, and who worshiped his image.
Revelation 16:19	Revelation	16	19	DIVINE-REFERENT REVIEW	HIGH	divine-attribute	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	The great city was divided into three parts, and the cities of the nations fell. Bavel the great was remembered in the sight of God, to give to her the cup of the wine of the fierceness of his wrath.
Revelation 19:11	Revelation	19	11	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	I saw the heaven opened, and behold, a white horse, and the one who sat on it is called Faithful and True. In righteousness he judges and makes war.
Revelation 20:6	Revelation	20	6	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; him	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	Blessed and holy is the one who has part in the first resurrection. Over these, the second death has no power, but they will be priests of God and of Messiah, and will reign with him one thousand years.
Revelation 21:5	Revelation	21	5	GENERIC PRONOUN HIGH PRIORITY	HIGH	The one who; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"The one who sits on the throne said, ""Behold, I am making all things new."" He said, ""Write, for these words of God are faithful and true."""
Revelation 21:6	Revelation	21	6	GENERIC PRONOUN HIGH PRIORITY	HIGH	the one who; he	A strongly generic English antecedent is paired with masculine pronouns; likely inclusive-language inconsistency.	"He said to me, ""It is done! I am the Alpha and the Omega, the Beginning and the End. I will give freely to the one who is thirsty from the spring of the water of life."
Revelation 22:3	Revelation	22	3	DIVINE-REFERENT REVIEW	HIGH	devotion-object; divine-attribute; explicit-divine-subject	Conservative heuristic indicates a masculine English pronoun may refer to an unmistakably divine antecedent. Verify coreference; if divine, project method prefers repeating the established divine name/title. Yeshua/Mashiach and ambiguous Lord references are intentionally not auto-classified here.	There will be no curse any more. The throne of God and of the Lamb will be in it, and his servants serve him.
Matthew 1:2	Matthew	1	2	BROTHERS / SIBLING LANGUAGE REVIEW	REVIEW	brothers	Plural brother-language can sometimes represent Greek adelphoi addressing a mixed community, but can also denote actual men or male kin. Requires source/context review.	Avraham became the father of Yitzhak. Yitzhak became the father of Ya'akov. Ya'akov became the father of Yehudah and his brothers.
Matthew 1:11	Matthew	1	11	BROTHERS / SIBLING LANGUAGE REVIEW	REVIEW	brothers	Plural brother-language can sometimes represent Greek adelphoi addressing a mixed community, but can also denote actual men or male kin. Requires source/context review.	Yoshiyahu became the father of Yekhonyahu and his brothers, at the time of the exile to Bavel.
Matthew 4:18	Matthew	4	18	BROTHERS / SIBLING LANGUAGE REVIEW	REVIEW	brothers	Plural brother-language can sometimes represent Greek adelphoi addressing a mixed community, but can also denote actual men or male kin. Requires source/context review.	Walking by the sea of Galil, he saw two brothers: Shimon (called Kepha), and Andreas, his brother, casting a net into the sea; for they were fishermen.
Matthew 4:21	Matthew	4	21	BROTHERS / SIBLING LANGUAGE REVIEW	REVIEW	brothers	Plural brother-language can sometimes represent Greek adelphoi addressing a mixed community, but can also denote actual men or male kin. Requires source/context review.	Going on from there, he saw two other brothers, Ya'akov the son of Zebedee, and Yochanan his brother, in the boat with Zebedee their father, mending their nets. He called them.
Matthew 8:27	Matthew	8	27	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"The men marveled, saying, ""What kind of a person is this, that even the wind and the sea obey him?"""
Matthew 9:3	Matthew	9	3	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"Behold, some of the scribes said to themselves, ""This man blasphemes."""
Matthew 9:9	Matthew	9	9	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"As Yeshua passed by from there, he saw a man called Matai sitting at the tax collection office. He said to him, ""Follow me."" He got up and followed him."
Matthew 9:27	Matthew	9	27	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"As Yeshua passed by from there, two blind men followed him, calling out and saying, ""Have mercy on us, son of Dawid!"""
Matthew 9:28	Matthew	9	28	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"When he had come into the house, the blind men came to him. Yeshua said to them, ""Do you trust that I am able to do this?"" They told him, ""Yes, Master."""
Matthew 9:33	Matthew	9	33	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"When the demon was cast out, the mute man spoke. The multitudes marveled, saying, ""Nothing like this has ever been seen in Israel!"""
Matthew 10:24	Matthew	10	24	GENERIC PRONOUN REVIEW	REVIEW	A disciple; his	A potentially generic antecedent is paired with masculine pronouns, but the referent may be specific. Context/source review required.	"""A disciple is not above his teacher, nor a servant above his master."
Matthew 11:19	Matthew	11	19	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"The Human One came eating and drinking, and they say, 'Behold, a gluttonous man and a drunkard, a friend of tax collectors and sinners!' But wisdom is justified by her children."""
Matthew 12:22	Matthew	12	22	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	Then one possessed by a demon, blind and mute, was brought to him and he healed him, so that the blind and mute man both spoke and saw.
Matthew 12:41	Matthew	12	41	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	The men of Ninveh will stand up in the judgment with this generation, and will condemn it, for they turned back at the preaching of Yonah; and behold, someone greater than Yonah is here.
Matthew 12:46	Matthew	12	46	BROTHERS / SIBLING LANGUAGE REVIEW	REVIEW	brothers	Plural brother-language can sometimes represent Greek adelphoi addressing a mixed community, but can also denote actual men or male kin. Requires source/context review.	While he was yet speaking to the multitudes, behold, his mother and his brothers stood outside, seeking to speak to him.
Matthew 12:47	Matthew	12	47	BROTHERS / SIBLING LANGUAGE REVIEW	REVIEW	brothers	Plural brother-language can sometimes represent Greek adelphoi addressing a mixed community, but can also denote actual men or male kin. Requires source/context review.	"One said to him, ""Behold, your mother and your brothers stand outside, seeking to speak to you."""
Matthew 12:48	Matthew	12	48	BROTHERS / SIBLING LANGUAGE REVIEW	REVIEW	brothers	Plural brother-language can sometimes represent Greek adelphoi addressing a mixed community, but can also denote actual men or male kin. Requires source/context review.	"But he answered the one who spoke to him, ""Who is my mother? Who are my brothers?"""
Matthew 12:49	Matthew	12	49	BROTHERS / SIBLING LANGUAGE REVIEW	REVIEW	brothers	Plural brother-language can sometimes represent Greek adelphoi addressing a mixed community, but can also denote actual men or male kin. Requires source/context review.	"He stretched out his hand towards his disciples, and said, ""Behold, my mother and my brothers!"
Matthew 13:54	Matthew	13	54	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"Coming into his own country, he taught them in their synagogue, so that they were astonished, and said, ""Where did this man get this wisdom, and these mighty works?"
Matthew 13:55	Matthew	13	55	BROTHERS / SIBLING LANGUAGE REVIEW	REVIEW	brothers	Plural brother-language can sometimes represent Greek adelphoi addressing a mixed community, but can also denote actual men or male kin. Requires source/context review.	Isn't this the carpenter's son? Isn't his mother called Maryam, and his brothers, Ya'akov, Joses, Shimon, and Yehuda?
Matthew 13:56	Matthew	13	56	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"Aren't all of his sisters with us? Where then did this man get all of these things?"""
Matthew 14:21	Matthew	14	21	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	Those who ate were about five thousand men, besides women and children.
Matthew 15:38	Matthew	15	38	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	Those who ate were four thousand men, besides women and children.
Matthew 19:3	Matthew	19	3	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"Pharisees came to him, testing him, and saying, ""Is it lawful for a man to divorce his wife for any reason?"""
Matthew 19:10	Matthew	19	10	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"His disciples said to him, ""If this is the case of the man with his wife, it is not expedient to marry."""
Matthew 19:12	Matthew	19	12	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"For there are eunuchs who were born that way from their mother's womb, and there are eunuchs who were made eunuchs by men; and there are eunuchs who made themselves eunuchs for the reign of the heavens's sake. The one who is able to receive it, let them receive it."""
Matthew 19:21	Matthew	19	21	GENERIC PRONOUN REVIEW	REVIEW	the poor; him	A potentially generic antecedent is paired with masculine pronouns, but the referent may be specific. Context/source review required.	"Yeshua said to him, ""If you want to be perfect, go, sell what you have, and give to the poor, and you will have treasure in heaven; and come, follow me."""
Matthew 19:29	Matthew	19	29	BROTHERS / SIBLING LANGUAGE REVIEW	REVIEW	brothers	Plural brother-language can sometimes represent Greek adelphoi addressing a mixed community, but can also denote actual men or male kin. Requires source/context review.	Everyone who has left houses, or brothers, or sisters, or father, or mother, or wife, or children, or lands, for my name's sake, will receive one hundred times, and will inherit life of the age.
Matthew 20:20	Matthew	20	20	SONS / CHILDREN LANGUAGE REVIEW	REVIEW	sons	Plural son-language can be literal male offspring or a source-language idiom/category whose intended scope may be broader. Requires source/context review; do not neutralize mechanically.	Then the mother of the sons of Zebedee came to him with her sons, kneeling and asking a certain thing of him.
Matthew 20:21	Matthew	20	21	SONS / CHILDREN LANGUAGE REVIEW	REVIEW	sons	Plural son-language can be literal male offspring or a source-language idiom/category whose intended scope may be broader. Requires source/context review; do not neutralize mechanically.	"He said to her, ""What do you want?"" She said to him, ""Command that these, my two sons, may sit, one on your right hand, and one on your left hand, in your reign."""
Matthew 20:24	Matthew	20	24	BROTHERS / SIBLING LANGUAGE REVIEW	REVIEW	brothers	Plural brother-language can sometimes represent Greek adelphoi addressing a mixed community, but can also denote actual men or male kin. Requires source/context review.	When the ten heard it, they were indignant with the two brothers.
Matthew 20:30	Matthew	20	30	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"Behold, two blind men sitting by the road, when they heard that Yeshua was passing by, cried out, ""Master, have mercy on us, you son of Dawid!"""
Matthew 21:28	Matthew	21	28	SONS / CHILDREN LANGUAGE REVIEW	REVIEW	sons	Plural son-language can be literal male offspring or a source-language idiom/category whose intended scope may be broader. Requires source/context review; do not neutralize mechanically.	But what do you think? A person had two sons, and they came to the first, and said, 'Son, go work today in my vineyard.'
Matthew 21:41	Matthew	21	41	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"They told him, ""He will miserably destroy those miserable men, and will lease out the vineyard to other farmers, who will give him the fruit in its season."""
Matthew 22:25	Matthew	22	25	BROTHERS / SIBLING LANGUAGE REVIEW	REVIEW	brothers	Plural brother-language can sometimes represent Greek adelphoi addressing a mixed community, but can also denote actual men or male kin. Requires source/context review.	Now there were with us seven brothers. The first married and died, and having no seed left his wife to his brother.
Matthew 24:40	Matthew	24	40	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	Then two men will be in the field: one will be taken and one will be left;
Matthew 25:24	Matthew	25	24	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"""He also who had received the one talent came and said, 'Master, I knew you that you are a hard man, reaping where you did not sow, and gathering where you did not scatter."
Matthew 25:37	Matthew	25	37	GENERIC PRONOUN REVIEW	REVIEW	the righteous; him	A potentially generic antecedent is paired with masculine pronouns, but the referent may be specific. Context/source review required.	"""Then the righteous will answer him, saying, 'Master, when did we see you hungry, and feed you; or thirsty, and give you a drink?"
Matthew 25:40	Matthew	25	40	BROTHERS / SIBLING LANGUAGE REVIEW	REVIEW	brothers	Plural brother-language can sometimes represent Greek adelphoi addressing a mixed community, but can also denote actual men or male kin. Requires source/context review.	"""The King will answer them, 'Most certainly I tell you, inasmuch as you did it to one of the least of these my brothers, you did it to me.'"
Matthew 26:18	Matthew	26	18	GENERIC PRONOUN REVIEW	REVIEW	The Teacher; he; him	A potentially generic antecedent is paired with masculine pronouns, but the referent may be specific. Context/source review required.	"He said, ""Go into the city to a certain person, and tell him, 'The Teacher says, ""My time is at hand. I will keep the Passover at your house with my disciples.""'"""
Matthew 26:24	Matthew	26	24	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"The Human One goes, even as it is written of him, but woe to that man through whom the Human One is betrayed! It would be better for that man if he had not been born."""
Matthew 26:37	Matthew	26	37	SONS / CHILDREN LANGUAGE REVIEW	REVIEW	sons	Plural son-language can be literal male offspring or a source-language idiom/category whose intended scope may be broader. Requires source/context review; do not neutralize mechanically.	He took with him Shimon (called Kepha) and the two sons of Zebedee, and began to be sorrowful and severely troubled.
Matthew 26:61	Matthew	26	61	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"and said, ""This man said, 'I am able to destroy the temple of Elohim, and to build it in three days.'"""
Matthew 26:71	Matthew	26	71	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	"When they had gone out onto the porch, someone else saw him, and said to those who were there, ""This man also was with Yeshua of Natzeret."""
Matthew 27:56	Matthew	27	56	SONS / CHILDREN LANGUAGE REVIEW	REVIEW	sons	Plural son-language can be literal male offspring or a source-language idiom/category whose intended scope may be broader. Requires source/context review; do not neutralize mechanically.	Among them were Maryam Ha-Migdalit, Maryam the mother of Ya'akov and Joses, and the mother of the sons of Zebedee.
Matthew 27:57	Matthew	27	57	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	When evening had come, a rich man from Arimathaea, named Yosef, who himself was also Yeshua' disciple came.
Matthew 27:58	Matthew	27	58	MASCULINE TERM REVIEW	REVIEW	man	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	This man went to Pilatus, and asked for Yeshua' body. Then Pilatus commanded the body to be given up.
Matthew 28:4	Matthew	28	4	MASCULINE TERM REVIEW	REVIEW	men	Masculine English term present. Preserve if the referent is actually male; revise only if source/context is generic.	For fear of him, the guards shook, and became like dead men.
Matthew 28:10	Matthew	28	10	BROTHERS / SIBLING LANGUAGE REVIEW	REVIEW	brothers	Plural brother-language can sometimes represent Greek adelphoi addressing a mixed community, but can also denote actual men or male kin. Requires source/context review.	"Then Yeshua said to them, ""Don't be afraid. Go tell my brothers that they should go into Galil, and there they will see me."""
