reference	testament	book	chapter	verse	matched_terms	current_text
Matthew 12:34	NT	Matthew	12	34	unripe	You offspring of vipers, how can you, being unripe, speak good things? For out of the abundance of the heart, the mouth speaks.
Matthew 12:35	NT	Matthew	12	35	unripe	The good person out of their good treasure brings out good things, and the unripe person out of their unripe treasure brings out unripe things.
Matthew 12:39	NT	Matthew	12	39	unripe	"But he answered them, ""An unripe and adulterous generation seeks after a sign, but no sign will be given it but the sign of Yonah the prophet."
Matthew 12:45	NT	Matthew	12	45	unripe	"Then he goes, and takes with himself seven other spirits more unripe than he is, and they enter in and dwell there. The last state of that person becomes worse than the first. Even so will it be also to this unripe generation."""
Matthew 13:19	NT	Matthew	13	19	unripe	When anyone hears the word of the reign, and doesn't understand it, the unripe one comes, and snatches away that which has been sown in their heart. This is what was sown by the roadside.
Matthew 13:38	NT	Matthew	13	38	unripe	the field is the world; and the good seed, these are the children of the reign; and the darnel weeds are the children of the unripe one.
Matthew 14:20	NT	Matthew	14	20	broken	They all ate, and were filled. They took up twelve baskets full of that which remained left over from the broken pieces.
Matthew 15:19	NT	Matthew	15	19	unripe	For out of the heart come forth unripe thoughts, murders, adulteries, sexual sins, thefts, false testimony, and blasphemies.
Matthew 15:37	NT	Matthew	15	37	broken	They all ate, and were filled. They took up seven baskets full of the broken pieces that were left over.
Matthew 16:4	NT	Matthew	16	4	unripe	"An unripe and adulterous generation seeks after a sign, and there will be no sign given to it, except the sign of the prophet Yonah."" He left them, and departed."
Matthew 20:15	NT	Matthew	20	15	unripeness	Isn't it lawful for me to do what I want to with what I own? Or is your eye unripeness, because I am good?'
Matthew 21:44	NT	Matthew	21	44	broken	"The one who falls on this stone will be broken to pieces, but on whoever it will fall, it will scatter them as dust."""
Matthew 24:43	NT	Matthew	24	43	broken	But know this, that if the master of the house had known in what watch of the night the thief was coming, he would have watched, and would not have allowed his house to be broken into.
Matthew 24:48	NT	Matthew	24	48	unripe	But if that unripe servant should say in his heart, 'My master is delaying his coming,'
Mark 2:4	NT	Mark	2	4	broken	When they could not come near to him for the crowd, they removed the roof where he was. When they had broken it up, they let down the mat that the paralytic was lying on.
Mark 5:4	NT	Mark	5	4	broken	because he had been often bound with fetters and chains, and the chains had been torn apart by him, and the fetters broken in pieces. Nobody had the strength to tame him.
Mark 6:43	NT	Mark	6	43	broken	They took up twelve baskets full of broken pieces and also of the fish.
Mark 7:21	NT	Mark	7	21	unripe	For from within, out of the hearts of people, proceed unripe thoughts, adulteries, sexual sins, murders, thefts,
Mark 7:22	NT	Mark	7	22	unripe	covetings, wickedness, deceit, lustful desires, an unripe eye, blasphemy, pride, and foolishness.
Mark 7:23	NT	Mark	7	23	unripe	"All these unripe things come from within, and defile the person."""
Mark 8:8	NT	Mark	8	8	broken	They ate, and were filled. They took up seven baskets of broken pieces that were left over.
Mark 8:19	NT	Mark	8	19	broken	"When I broke the five loaves among the five thousand, how many baskets full of broken pieces did you take up?"" They told him, ""Twelve."""
Mark 8:20	NT	Mark	8	20	broken	"""When the seven loaves fed the four thousand, how many baskets full of broken pieces did you take up?"" They told him, ""Seven."""
Luke 3:19	NT	Luke	3	19	unripe	but Herodes the tetrarch, being reproved by him for Herodias, his brother's wife, and for all the unripe things which Herodes had done,
Luke 6:22	NT	Luke	6	22	unripe	Blessed are you when people shall hate you, and when they shall exclude and mock you, and throw out your name as unripe, for the Human One's sake.
Luke 6:35	NT	Luke	6	35	unripe	But love your enemies, and do good, and lend, expecting nothing back; and your reward will be great, and you will be children of the Most High; for he is kind toward the unthankful and the unripe.
Luke 6:45	NT	Luke	6	45	unripe	The good person out of the good treasure of their heart brings out that which is good, and the unripe person out of the unripe treasure of their heart brings out what is unripe, for out of the abundance of the heart, their mouth speaks.
Luke 7:21	NT	Luke	7	21	unripe	In that hour he cured many of diseases and plagues and unripe spirits; and to many who were blind he gave sight.
Luke 8:2	NT	Luke	8	2	unripe	and certain women who had been healed of unripe spirits and infirmities: Maryam who was called Magdalene, from whom seven demons had gone out;
Luke 9:17	NT	Luke	9	17	broken	They ate, and were all filled. They gathered up twelve baskets of broken pieces that were left over.
Luke 11:13	NT	Luke	11	13	unripe	"If you then, being unripe and still able to sour, know how to give good gifts to your children, how much more will your heavenly Cosmic Parent give the Ruach of Elohim to those who seek from him?"""
Luke 11:26	NT	Luke	11	26	unripe	"Then it goes, and takes seven other spirits more unripe than itself, and they enter in and dwell there. The last state of that person becomes worse than the first."""
Luke 11:29	NT	Luke	11	29	unripe	"When the multitudes were gathering together to him, he began to say, ""This is an unripe generation. It seeks after a sign. No sign will be given to it but the sign of Yonah, the prophet."
Luke 11:34	NT	Luke	11	34	unripe	The lamp of the body is the eye. Therefore when your eye is good, your whole body is also full of light; but when it is unripe, your body also is full of darkness.
Luke 12:39	NT	Luke	12	39	broken	But know this, that if the master of the house had known in what hour the thief was coming, he would have watched, and not allowed his house to be broken into.
Luke 20:18	NT	Luke	20	18	broken	"Everyone who falls on that stone will be broken to pieces, but it will crush whomever it falls on to dust."""
Luke 23:22	NT	Luke	23	22	unripeness	"He said to them the third time, ""Why? What unripeness has this man done? I have found no capital crime in him. I will therefore chastise him and release him."""
John 3:19	NT	John	3	19	unripe	This is the judgment, that the light has come into the world, and people loved the darkness rather than the light; for their works were unripe.
John 3:20	NT	John	3	20	unripeness	For everyone who acts from unripeness hates the light, and doesn't come to the light, lest their works would be exposed.
John 5:29	NT	John	5	29	unripeness	and will come out; those who have done good, to the resurrection of life; and those who have acted from unripeness, to the resurrection of judgment.
John 6:12	NT	John	6	12	broken	"When they were filled, he said to his disciples, ""Gather up the broken pieces which are left over, that nothing be lost."""
John 6:13	NT	John	6	13	broken	So they gathered them up, and filled twelve baskets with broken pieces from the five barley loaves, which were left over by those who had eaten.
John 7:7	NT	John	7	7	unripe	The world can't hate you, but it hates me, because I testify about it, that its works are unripe.
John 7:23	NT	John	7	23	broken	If a boy receives circumcision on the Sabbath, that the law of Moshe may not be broken, are you angry with me, because I made a person every bit whole on the Sabbath?
John 10:35	NT	John	10	35	broken	If he called them gods, to whom the word of Elohim came (and the Scripture can't be broken),
John 17:15	NT	John	17	15	unripe	I pray not that you would take them from the world, but that you would keep them from the unripe one.
John 18:23	NT	John	18	23	unripeness	"Yeshua answered him, ""If I have spoken from unripeness, testify of the unripeness; but if I have spoken well, why do you beat me?"""
John 18:30	NT	John	18	30	unripeness	"They answered him, ""If this man weren't a person who acts from unripeness, we wouldn't have delivered him up to you."""
John 19:31	NT	John	19	31	broken	Therefore the Judeans, because it was the Preparation Day, so that the bodies wouldn't remain on the cross on the Sabbath (for that Sabbath was a special one), asked of Pilatus that their legs might be broken, and that they might be taken away.
John 19:36	NT	John	19	36	broken	"For these things happened, that the Scripture might be fulfilled, ""A bone of him will not be broken."""
Acts 19:12	NT	Acts	19	12	unripe	so that even handkerchiefs or aprons were carried away from his body to the sick, and the unripe spirits went out.
Acts 19:13	NT	Acts	19	13	unripe	"But some of the itinerant Judeans, exorcists, took on themselves to invoke over those who had the unripe spirits the name of Master Yeshua, saying, ""We adjure you by Yeshua whom Shaul preaches."""
Acts 19:15	NT	Acts	19	15	unripe	"The unripe spirit answered, ""Yeshua I know, and Shaul I know, but who are you?"""
Acts 19:16	NT	Acts	19	16	unripe	The person in whom the unripe spirit was leaped on them, and overpowered them, and prevailed against them, so that they fled out of that house naked and wounded.
Acts 20:11	NT	Acts	20	11	broken	When he had gone up, and had broken bread, and eaten, and had talked with them a long while, even until break of day, he departed.
Acts 23:9	NT	Acts	23	9	unripeness	"A great clamor arose, and some of the scribes of the Pharisees part stood up, and contended, saying, ""We find no unripeness in this man. But if a spirit or angel has spoken to him, let's not fight against God!"""
Romans 1:29	NT	Romans	1	29	unripe	being filled with all unrighteousness, sexual immorality, wickedness, covetousness, maliciousness; full of envy, murder, strife, deceit, unripe habits, secret slanderers,
Romans 1:30	NT	Romans	1	30	unripe	backbiters, hateful to God, insolent, haughty, boastful, inventors of unripe things, disobedient to parents,
Romans 2:9	NT	Romans	2	9	unripeness	oppression and anguish, on every person who acts from unripeness, to the Judean first, and also to the Greek.
Romans 3:8	NT	Romans	3	8	unripeness	"Why not (as we are slanderously reported, and as some affirm that we say), ""Let us act from unripeness, that good may come?"" Those who say so are justly condemned."
Romans 7:19	NT	Romans	7	19	unripeness	For the good which I desire, I don't do; but the unripeness which I don't desire, that I practice.
Romans 7:21	NT	Romans	7	21	unripeness	I find then the law, that, to me, while I desire to do good, unripeness is present.
Romans 11:3	NT	Romans	11	3	broken	"""Master, they have killed your prophets, they have broken down your altars; and I am left alone, and they seek my life."""
Romans 11:17	NT	Romans	11	17	broken	But if some of the branches were broken off, and you, being a wild olive, were grafted in among them, and became partaker with them of the root and of the richness of the olive tree;
Romans 11:19	NT	Romans	11	19	broken	"You will say then, ""Branches were broken off, that I might be grafted in."""
Romans 11:20	NT	Romans	11	20	broken	True; by their unbelief they were broken off, and you stand by your faith. Don't be conceited, but fear;
Romans 12:9	NT	Romans	12	9	unripeness	Let love be without hypocrisy. Abhor that which is unripeness. Cling to that which is good.
Romans 12:17	NT	Romans	12	17	unripeness	repay no one unripeness for unripeness. Respect what is honorable in the sight of all people.
Romans 12:21	NT	Romans	12	21	unripeness	Don't be overcome by unripeness, but overcome unripeness with good.
Romans 13:3	NT	Romans	13	3	unripeness	For rulers are not a terror to the good work, but to the unripeness. Do you desire to have no fear of the authority? Do that which is good, and you will have praise from the same,
Romans 13:4	NT	Romans	13	4	unripeness	for he is a servant of God to you for good. But if you do that which is unripeness, be afraid, for he doesn't bear the sword in vain; for they are a servant of God, an avenger for wrath to the one who acts from unripeness.
Romans 14:20	NT	Romans	14	20	unripeness	Don't overthrow God's work for food's sake. All things indeed are clean, however it is unripeness for that person who creates a stumbling block by eating.
Romans 16:19	NT	Romans	16	19	unripeness	For your obedience has become known to all. I rejoice therefore over you. But I desire to have you wise in that which is good, but innocent in that which is unripeness.
1 Corinthians 5:13	NT	1 Corinthians	5	13	broken	"But those who are outside, God judges. ""Put away the broken person from among yourselves."""
1 Corinthians 10:6	NT	1 Corinthians	10	6	unripe	Now these things were our examples, to the intent we should not lust after unripe things, as they also lusted.
1 Corinthians 11:24	NT	1 Corinthians	11	24	broken	"When he had given thanks, he broke it, and said, ""Take, eat. This is my body, which is broken for you. Do this in memory of me."""
1 Corinthians 13:5	NT	1 Corinthians	13	5	unripeness	doesn't behave itself inappropriately, doesn't seek its own way, is not provoked, takes no account of unripeness;
1 Corinthians 15:33	NT	1 Corinthians	15	33	unripe	"Don't be deceived! ""unripe companionships corrupt good morals."""
2 Corinthians 13:7	NT	2 Corinthians	13	7	unripeness	Now I pray to God that you act from no unripeness; not that we may appear approved, but that you may do that which is honorable, though we are as reprobate.
Galatians 1:4	NT	Galatians	1	4	unripeness	who gave himself for our sins, that he might deliver us out of this present unripeness age, according to the will of our God and Cosmic Parent--
Ephesians 5:16	NT	Ephesians	5	16	unripeness	redeeming the time, because the days are unripeness.
Ephesians 6:13	NT	Ephesians	6	13	unripeness	Therefore, put on the whole armor of God, that you may be able to withstand in the unripeness day, and, having done all, to stand.
Ephesians 6:16	NT	Ephesians	6	16	unripe	above all, taking up the shield of faith, with which you will be able to quench all the fiery darts of the unripe one.
Philippians 3:2	NT	Philippians	3	2	unripeness	Beware of the dogs, beware of the workers of unripeness, beware of the false circumcision.
Colossians 1:21	NT	Colossians	1	21	unripeness	You, being in past times alienated and enemies in your mind in your works of unripeness,
Colossians 3:5	NT	Colossians	3	5	unripe	Put to death therefore your members which are on the earth: sexual immorality, uncleanness, depraved passion, unripe desire, and covetousness, which is idolatry;
1 Thessalonians 5:15	NT	1 Thessalonians	5	15	unripeness	See that no one returns unripeness for unripeness to anyone, but always follow after that which is good, for one another, and for all.
1 Thessalonians 5:22	NT	1 Thessalonians	5	22	unripeness	Abstain from every form of unripeness.
2 Thessalonians 3:2	NT	2 Thessalonians	3	2	unripeness	and that we may be delivered from unreasonable and people of unripeness; for not all have faith.
2 Thessalonians 3:3	NT	2 Thessalonians	3	3	unripe	But the Master is faithful, who will establish you, and guard you from the unripe one.
1 Timothy 6:4	NT	1 Timothy	6	4	unripe	he is conceited, knowing nothing, but obsessed with arguments, disputes, and word battles, from which come envy, strife, reviling, unripe suspicions,
1 Timothy 6:10	NT	1 Timothy	6	10	unripeness	For the love of money is a root of all kinds of unripeness. Some have been led astray from the faith in their greed, and have pierced themselves through with many sorrows.
2 Timothy 3:13	NT	2 Timothy	3	13	unripeness	But people of unripeness and impostors will grow worse and worse, deceiving and being deceived.
2 Timothy 4:14	NT	2 Timothy	4	14	unripeness	Alexandros, the coppersmith, did much unripeness to me. The Master will repay him according to his works,
2 Timothy 4:18	NT	2 Timothy	4	18	unripeness	And the Master will deliver me from every work of unripeness, and will preserve me for his heavenly Reign; to whom be the glory forever and ever. Amen.
Titus 1:12	NT	Titus	1	12	unripe	"One of them, a prophet of their own, said, ""Cretans are always liars, unripe beasts, and idle gluttons."""
Titus 2:8	NT	Titus	2	8	unripe	and soundness of speech that can't be condemned; that the one who opposes you may be ashamed, having no unripe thing to say about us.
Hebrews 3:12	NT	Hebrews	3	12	unripe	Beware, brothers and sisters, lest perhaps there be in any one of you an unripe heart of unbelief, in falling away from the living God;
Hebrews 5:14	NT	Hebrews	5	14	unripeness	But solid food is for those who are full grown, who by reason of use have their senses exercised to discern good and unripeness.
Hebrews 10:22	NT	Hebrews	10	22	unripe	let's draw near with a true heart in fullness of faith, having our hearts sprinkled from an unripe conscience, and having our body washed with pure water,
James 1:13	NT	James	1	13	unripeness	"Let no one say when they are tempted, ""I am tempted by God,"" for God can't be tempted by unripeness, and God tempts no one."
James 2:4	NT	James	2	4	unripe	haven't you shown partiality among yourselves, and become judges with unripe thoughts?
James 3:8	NT	James	3	8	unripeness	But nobody can tame the tongue. It is a restless unripeness, full of deadly poison.
James 3:16	NT	James	3	16	unripeness	For where jealousy and selfish ambition are, there is confusion and every unripeness deed.
James 4:16	NT	James	4	16	unripeness	But now you glory in your boasting. All such boasting is unripeness.
1 Peter 2:1	NT	1 Peter	2	1	unripeness	Putting away therefore all wickedness, all deceit, hypocrisies, envies, and all unripeness speaking,
1 Peter 2:12	NT	1 Peter	2	12	unripeness	having good behavior among the nations, so in that of which they speak against you as people who act from unripeness, they may by your good works, which they see, glorify God in the day of visitation.
1 Peter 2:14	NT	1 Peter	2	14	unripeness	or to governors, as sent by him for vengeance on people who act from unripeness and for praise to those who do well.
1 Peter 3:9	NT	1 Peter	3	9	unripeness	not rendering unripeness for unripeness, or reviling for reviling; but instead blessing; knowing that to this were you called, that you may inherit a blessing.
1 Peter 3:10	NT	1 Peter	3	10	unripeness	"For, ""The one who would love life, and see good days, let them keep their tongue from unripeness, and their lips from speaking deceit."
1 Peter 3:11	NT	1 Peter	3	11	unripeness	Let them turn away from unripeness, and do good. Let them seek peace, and pursue it.
1 Peter 3:12	NT	1 Peter	3	12	unripeness	"For the eyes of the Master are on the righteous, and the Master’s ears open to their prayer; but the face of YHWH is against those who act from unripeness."""
1 Peter 3:16	NT	1 Peter	3	16	unripeness	having a good conscience; that, while you are spoken against as people who act from unripeness, they may be disappointed who curse your good manner of life in Messiah.
1 Peter 3:17	NT	1 Peter	3	17	unripeness	For it is better, if it is God's will, that you suffer for doing well than for doing unripeness.
1 Peter 4:15	NT	1 Peter	4	15	unripeness	For let none of you suffer as a murderer, or a thief, or an unripeness doer, or a meddler in other people's matters.
1 John 2:13	NT	1 John	2	13	unripe	I write to you, fathers, because you know the one who is from the beginning. I write to you, young people, because you have overcome the unripe one. I write to you, little children, because you know the Cosmic Parent.
1 John 2:14	NT	1 John	2	14	unripe	I have written to you, fathers, because you know the one who is from the beginning. I have written to you, young people, because you are strong, and the word of God remains in you, and you have overcome the unripe one.
1 John 3:12	NT	1 John	3	12	unripe	unlike Qayin, who was of the unripe one, and killed his brother. Why did he kill him? Because his works were unripe, and his brother's righteous.
1 John 5:18	NT	1 John	5	18	unripe	We know that whoever is born of God doesn't sin, but the one who was born of God keeps themselves, and the unripe one doesn't touch them.
1 John 5:19	NT	1 John	5	19	unripe	We know that we are of God, and the whole world lies in the power of the unripe one.
2 John 1:11	NT	2 John	1	11	unripeness	for the one who welcomes them participates in their works of unripeness.
3 John 1:11	NT	3 John	1	11	unripeness	Beloved, don't imitate that which is unripeness, but that which is good. The one who does good is of God. The one who acts from unripeness hasn't seen God.
Revelation 2:2	NT	Revelation	2	2	unripeness	"""I know your works, and your toil and perseverance, and that you can't tolerate people of unripeness, and have tested those who call themselves emissaries, and they are not, and found them false."
Revelation 6:13	NT	Revelation	6	13	unripe	The stars of the sky fell to the earth, like a fig tree dropping its unripe figs when it is shaken by a great wind.
Revelation 16:2	NT	Revelation	16	2	unripe	The first went, and poured out his bowl into the earth, and it became a harmful and harmful and unripe sore on the people who had the mark of the beast, and who worshiped his image.
