reference	triggers	text
Proverbs 27:10	father, brother	Don't forsake your friend and your father's friend. Don't go to your brother's house in the day of your disaster: better is a neighbor who is near than a distant brother.
Proverbs 27:12	man	A prudent man sees danger and takes refuge; but the simple pass on, and suffer for it.
Proverbs 27:13	his, he	Take his garment when he puts up collateral for a stranger. Hold it for a wayward woman!
Proverbs 27:16	his	restraining her is like restraining the wind, or like grasping oil in his right hand.
Proverbs 27:18	master	Whoever tends the fig tree shall eat its fruit. The one who looks after their master shall be honored.
Proverbs 28:3	man	A needy man who oppresses the poor is like a driving rain which leaves no crops.
Proverbs 28:5	men	Brokenness men don't understand justice; but those who seek YHWH understand it fully.
Proverbs 28:7	son, father	Whoever keeps the law is a wise son; but the one who is a companion of gluttons shames their father.
Proverbs 28:11	him	The rich a person is wise in their own eyes; but the poor who has understanding sees through him.
Proverbs 28:12	men	When the righteous triumph, there is great glory; but when the wicked rise, men hide themselves.
Proverbs 28:17	him	A person who is tormented by life blood will be a fugitive until death; no one will support him.
Proverbs 28:22	man, him	A stingy man hurries after riches, and doesn't know that poverty waits for him.
Proverbs 28:24	father, he	"Whoever robs their father or their mother, and says, ""It's not wrong."" He is a partner with a destroyer."
Proverbs 28:26	himself	One who trusts in himself is a fool; but one who walks in wisdom is kept safe.
Proverbs 28:28	men	When the wicked rise, men hide themselves; but when they perish, the righteous thrive.
Proverbs 29:3	father, his	Whoever loves wisdom brings joy to their father; but a companion of prostitutes squanders his wealth.
Proverbs 29:4	king	The king by justice makes the land stable, but the one who takes bribes tears it down.
Proverbs 29:12	his	If a ruler listens to lies, all of his officials are wicked.
Proverbs 29:13	man	The poor man and the oppressor have this in common: YHWH gives sight to the eyes of both.
Proverbs 29:14	king, his	The king who fairly judges the poor, his throne shall be established forever.
Proverbs 29:15	himself, his	The rod of correction gives wisdom, but a child left to himself causes shame to his mother.
Proverbs 29:17	son, he	Correct your son, and he will give you peace; yes, he will bring delight to your soul.
Proverbs 29:19	he	A servant can't be corrected by words. Though he understands, yet he will not respond.
Proverbs 29:21	him, son	The one who pampers their servant from youth will have him become a son in the end.
Proverbs 29:22	man	An angry man stirs up strife, and a wrathful man abounds in sin.
Proverbs 29:23	him	A person's pride brings him low, but one of lowly spirit gains honor.
Proverbs 29:24	he	Whoever is an accomplice of a thief is an enemy of their own soul. He takes an oath, but dares not testify.
Proverbs 29:25	man	The fear of man proves to be a snare, but whoever puts their trust in YHWH is kept safe.
Proverbs 29:27	man	A dishonest man detests the righteous, and the upright in their ways detest the wicked.
Proverbs 30:1	son	The words of Agur the son of Jakeh, the oracle: the person says to Ithiel, to Ithiel and Ucal:
Proverbs 30:2	man	"""Surely I am the most ignorant man, and don't have a person's understanding."
Proverbs 30:4	his, son	Who has ascended up into heavens, and descended? Who has gathered the wind in his fists? Who has bound the waters in his garment? Who has established all the ends of the earth? What is his name, and what is his son's name, if you know?
Proverbs 30:6	his, he	Don't you add to his words, lest he reprove you, and you be found a liar.
Proverbs 30:10	his, master, he	"""Don't slander a servant to his master, lest he curse you, and you be held guilty."
Proverbs 30:11	father	There is a generation that curses their father, and doesn't bless their mother.
Proverbs 30:14	men	There is a generation whose teeth are like swords, and their jaws like knives, to devour the poor from the earth, and the needy from among men.
Proverbs 30:17	his, father	"""The eye that mocks at his father, and scorns obedience to his mother: the ravens of the valley shall pick it out, the young eagles shall eat it."
Proverbs 30:22	he, king	For a servant when he is king; a fool when they are filled with food;
Proverbs 30:27	king	The locusts have no king, yet they advance in ranks.
Proverbs 30:28	kings	You can catch a lizard with your hands, yet it is in kings' palaces.
Proverbs 30:31	male, king	the greyhound, the male goat also; and the king against whom there is no rising up.
Proverbs 31:1	king, his, him	The words of king Lemuel; the oracle which his mother taught him.
Proverbs 31:2	son	"""Oh, my child! Oh, son of my womb! Oh, son of my vows!"
Proverbs 31:3	kings	Don't give your strength to women, nor your ways to that which destroys kings.
Proverbs 31:4	kings, princes	It is not for kings, Lemuel; it is not for kings to drink wine; nor for princes to say, 'Where is strong drink?'
Proverbs 31:7	him, his	Let him drink, and forget his poverty, and remember his misery no more.
Proverbs 31:11	husband, he	The heart of her husband trusts in her. He shall have no lack of gain.
Proverbs 31:12	him	She does him good, and not harm, all the days of her life.
Proverbs 31:23	husband, he	Her husband is respected in the gates, when he sits among the elders of the land.
Proverbs 31:28	husband	Her children rise up and call her blessed. Her husband also praises her:
Song of Solomon 1:2	him, his	Let him kiss me with the kisses of his mouth; for your love is better than wine.
Song of Solomon 1:4	king, his	Take me away with you. Let us hurry. The king has brought me into his chambers. Friends We will be glad and rejoice in you. We will praise your love more than wine! Beloved They are right to love you.
Song of Solomon 1:6	sons	Don't stare at me because I am dark, because the sun has scorched me. My mother's sons were angry with me. They made me keeper of the vineyards. I haven't kept my own vineyard.
Song of Solomon 1:12	king, his	While the king sat at his table, my perfume spread its fragrance.
Song of Solomon 2:3	sons, his	As the apple tree among the trees of the wood, so is my beloved among the sons. I sat down under his shadow with great delight, his fruit was sweet to my taste.
Song of Solomon 2:4	he, his	He brought me to the banquet hall. His banner over me is love.
Song of Solomon 2:6	his	His left hand is under my head. His right hand embraces me.
Song of Solomon 2:8	he	The voice of my beloved! Behold, he comes, leaping on the mountains, skipping on the hills.
Song of Solomon 2:9	he	My beloved is like a roe or a young hart. Behold, he stands behind our wall! He looks in at the windows. He glances through the lattice.
Song of Solomon 2:16	his, he	My beloved is mine, and I am his. He browses among the lilies.
Song of Solomon 3:1	him	By night on my bed, I sought the one whom my soul loves. I sought him, but I didn't find him.
Song of Solomon 3:2	him	I will get up now, and go about the city; in the streets and in the squares I will seek the one whom my soul loves. I sought him, but I didn't find him.
Song of Solomon 3:3	watchmen	"The watchmen who go about the city found me; ""Have you seen the one whom my soul loves?"""
Song of Solomon 3:4	him	I had scarcely passed from them, when I found the one whom my soul loves. I held him, and would not let him go, until I had brought him into my mother's house, into the chamber of her who conceived me.
Song of Solomon 3:9	king, himself	King Shlomo made himself a carriage of the wood of Levanon.
Song of Solomon 3:10	he	He made its pillars of silver, its bottom of gold, its seat of purple, its midst being paved with love, from the daughters of Yerushalayim.
Song of Solomon 3:11	king, his, him	Go forth, you daughters of Tzion, and see king Shlomo, with the crown with which his mother has crowned him, in the day of his weddings, in the day of the gladness of his heart. Lover
Song of Solomon 4:4	men	Your neck is like Dawid's tower built for an armory, whereon a thousand shields hang, all the shields of the mighty men.
Song of Solomon 4:16	his	Awake, north wind; and come, you south! Blow on my garden, that its spices may flow out. Let my beloved come into his garden, and taste his precious fruits. Lover
Song of Solomon 5:4	his, him	My beloved thrust his hand in through the latch opening. My heart pounded for him.
Song of Solomon 5:6	he, him	I opened to my beloved; but my beloved left; and had gone away. My heart went out when he spoke. I looked for him, but I didn't find him. I called him, but he didn't answer.
Song of Solomon 5:7	watchmen	The watchmen who go about the city found me. They beat me. They bruised me. The keepers of the walls took my cloak away from me.
Song of Solomon 5:8	him	I adjure you, daughters of Yerushalayim, If you find my beloved, that you tell him that I am faint with love. Friends
Song of Solomon 5:11	his	His head is like the purest gold. His hair is bushy, black as a raven.
Song of Solomon 5:12	his	His eyes are like doves beside the water brooks, washed with milk, mounted like jewels.
Song of Solomon 5:13	his	His cheeks are like a bed of spices with towers of perfumes. His lips are like lilies, dropping liquid myrrh.
Song of Solomon 5:14	his	His hands are like rings of gold set with beryl. His body is like ivory work overlaid with sapphires.
Song of Solomon 5:15	his	His legs are like pillars of marble set on sockets of fine gold. His appearance is like Levanon, excellent as the cedars.
Song of Solomon 5:16	his, he	His mouth is sweetness; yes, he is altogether lovely. This is my beloved, and this is my friend, daughters of Yerushalayim. Friends
Song of Solomon 6:1	him	Where has your beloved gone, you fairest among women? Where has your beloved turned, that we may seek him with you? Beloved
Song of Solomon 6:2	his	My beloved has gone down to his garden, to the beds of spices, to feed in the gardens, and to gather lilies.
Song of Solomon 6:3	he	I am my beloved's, and my beloved is mine. He browses among the lilies,
Song of Solomon 7:1	prince, workman	How beautiful are your feet in sandals, prince's daughter! Your rounded thighs are like jewels, the work of the hands of a skillful workman.
Song of Solomon 7:5	king	Your head on you is like Carmel. The hair of your head like purple. The king is held captive in its tresses.
Song of Solomon 7:10	his	I am my beloved's. His desire is toward me.
Song of Solomon 8:1	brother	Oh that you were like my brother, who sucked the breasts of my mother! If I found you outside, I would kiss you; yes, and no one would despise me.
Song of Solomon 8:3	his	His left hand would be under my head. His right hand would embrace me.
Song of Solomon 8:11	he	Shlomo had a vineyard at Baal Hamon. He leased out the vineyard to keepers. Each was to bring a thousand shekels of silver for its fruit.
